Date,Settle,High,Low,Last,Change,Open,Volume,Open Interest
2016-04-26,115.25,115.4,113.725,115.175,1.85,114.15,10316.0,61776.0
2016-04-27,114.7,115.875,113.5,114.55,0.55,115.15,8928.0,61142.0
2016-04-28,111.75,114.55,111.7,111.7,2.95,113.8,11626.0,62115.0
2016-04-29,112.425,113.775,111.275,112.425,0.675,111.4,12729.0,62417.0
2016-05-02,113.725,114.5,112.5,113.9,1.3,112.625,12576.0,64892.0
2016-05-03,114.35,114.8,113.775,114.0,0.625,114.325,12466.0,68195.0
2016-05-04,115.3,115.475,113.125,115.45,0.95,113.5,13702.0,70567.0
2016-05-05,117.425,117.675,115.45,117.4,2.125,115.525,15823.0,72810.0
2016-05-06,117.9,118.075,117.125,117.975,0.475,117.4,20531.0,75100.0
2016-05-09,119.575,120.675,118.65,119.55,1.675,120.25,27244.0,78183.0
2016-05-10,119.775,120.0,118.95,119.875,0.2,119.575,24024.0,81505.0
2016-05-11,119.325,120.1,118.775,118.85,0.45,119.775,19564.0,86287.0
2016-05-12,118.9,120.525,118.075,118.625,0.425,119.0,33082.0,91210.0
2016-05-13,118.725,119.425,116.8,118.775,0.175,118.875,24201.0,96598.0
2016-05-16,119.475,119.975,118.85,119.425,0.75,118.925,14884.0,100661.0
2016-05-17,119.8,119.95,118.875,119.75,0.325,119.5,12126.0,102190.0
2016-05-18,119.95,120.0,119.15,119.925,0.15,119.925,15171.0,103187.0
2016-05-19,118.325,119.825,117.1,118.05,1.625,119.825,21157.0,105044.0
2016-05-20,117.45,118.175,116.725,117.275,0.875,118.075,18796.0,106151.0
2016-05-23,114.45,115.425,114.45,114.45,3.0,115.3,19379.0,108252.0
2016-05-24,113.175,114.525,112.375,113.1,1.275,113.55,26779.0,110908.0
2016-05-25,113.4,113.85,113.1,113.45,0.225,113.275,15232.0,114245.0
2016-05-26,115.35,115.7,111.45,115.175,1.95,113.5,31808.0,116349.0
2016-05-27,116.425,116.65,115.5,116.4,1.075,115.55,16955.0,117838.0
2016-05-31,118.05,118.475,116.625,118.0,1.625,116.7,20666.0,117072.0
2016-06-01,117.45,118.025,116.85,117.375,0.6,118.0,20803.0,118302.0
2016-06-02,117.65,118.65,117.1,117.65,0.2,117.575,14291.0,118729.0
2016-06-03,117.8,118.7,117.525,117.9,0.15,117.65,13798.0,120023.0
2016-06-06,116.55,119.425,115.15,116.1,1.25,119.0,28352.0,119977.0
2016-06-07,116.0,117.85,115.75,115.9,0.55,116.55,16598.0,121330.0
2016-06-08,118.725,118.9,115.275,118.6,2.725,116.175,21065.0,121255.0
2016-06-09,118.85,119.4,118.0,118.65,0.125,118.975,15613.0,122669.0
2016-06-10,117.35,119.05,117.2,117.525,1.5,118.875,13835.0,121228.0
2016-06-13,114.35,117.6,114.35,114.35,3.0,117.6,20267.0,120320.0
2016-06-14,115.0,115.425,112.825,114.4,0.65,114.0,23472.0,122093.0
2016-06-15,113.575,114.9,113.125,113.6,1.425,114.75,15815.0,121193.0
2016-06-16,113.35,113.875,111.75,113.425,0.225,113.825,18288.0,120952.0
2016-06-17,112.55,114.45,112.275,112.45,0.8,113.35,16053.0,121622.0
2016-06-20,110.25,112.725,109.575,110.2,2.3,112.725,25870.0,121497.0
2016-06-21,111.45,111.875,109.625,111.5,1.2,109.875,19251.0,121679.0
2016-06-22,111.625,112.75,110.575,111.425,0.175,111.425,16881.0,121296.0
2016-06-23,113.85,114.225,111.5,113.975,2.225,111.625,16403.0,121727.0
2016-06-24,110.875,113.275,110.85,110.85,2.975,112.275,20913.0,120664.0
2016-06-27,112.025,112.725,110.925,111.9,1.15,111.125,15873.0,120958.0
2016-06-28,112.725,113.25,112.4,112.675,0.7,112.575,12598.0,120121.0
2016-06-29,114.125,114.3,113.025,114.1,1.4,113.075,17322.0,119887.0
2016-06-30,114.825,115.7,114.275,114.675,0.7,114.3,24158.0,117562.0
2016-07-01,112.975,115.35,112.775,112.975,1.85,114.85,22090.0,115972.0
2016-07-05,113.65,114.225,111.075,113.75,0.675,113.05,22795.0,115581.0
2016-07-06,112.8,114.4,112.325,112.4,0.85,113.9,18582.0,112826.0
2016-07-07,111.8,113.125,111.55,111.625,1.0,112.5,17273.0,111932.0
2016-07-08,112.225,113.825,111.35,112.125,0.425,111.575,25561.0,111317.0
2016-07-11,109.35,112.175,109.225,109.225,2.875,112.0,33802.0,106016.0
2016-07-12,108.9,110.15,108.175,108.9,0.45,109.4,30368.0,102563.0
